Unnamed: 0,Class,Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Copper_mg),Panto_Acid_mg),Vit_A_IU,Vit_A_RAE,Vit_D_µg,Vit_D_IU,FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_K_(g),Cholestrl_(g)
,4,"OSCAR MAYER,BOLOGNA (BEEF)",54.15,11.05,29.1,3.25,2.45,0.0,1.4,0.11,0.28,0.0,0.0,0.8,32.0,12.85,15.21,1.11,28.0,"1 serving,  (1 slice)",,,0.0,0.012,0.0013599999999999999,0.013999999999999999,0.109,0.168,1.179,0.00203,,,0.0,5e-05,0.00011,0.00242,0.00016999999999999999,0.00013000000000000002,0.0,0.00013000000000000002,0.00013000000000000002,,1.43e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,0.064
,1,"CEREALS RTE,KELLOGG'S KRAVE CHOC CRL",3.5,7.0,11.1,2.3,76.1,9.9,35.7,,,6452.0,,3.3,133.0,2.5,2.8,5.2,31.0,".75 cup,  (1 NLEA serving)",,,0.0,0.061,0.0145,0.04,0.102,0.222,0.32,0.005,,,0.048,0.00121,0.0011300000000000001,0.0161,0.00161,0.00267,0.00248,0.00018999999999999998,0.00441,,4.8e-05,,,,,,,,,0.001
,4,"BEEF,VAR MEATS&BY-PRODUCTS,TRIPE,RAW",84.16,12.07,3.69,0.55,0.0,0.0,0.0,0.07,0.22699999999999998,0.0,0.0,0.0,0.0,1.291,1.5330000000000001,0.18,28.0,1 oz,113.0,4 oz,0.0,0.069,0.0005899999999999999,0.013000000000000001,0.064,0.067,0.09699999999999999,0.0014199999999999998,8.499999999999999e-05,0.000125,0.0,0.0,6.4e-05,0.0008810000000000002,1.4000000000000001e-05,5e-05,0.0,5e-05,5e-05,0.1948,1.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.999999999999999e-05,0.0,0.122
,3,"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",55.2,21.7,18.6,3.6,0.9,,,0.19,1.95,559.0,,,,5.1,8.7,3.6,,,,,0.0,0.016,0.00455,0.02,0.17,0.228,0.095,0.0038299999999999996,6e-05,,0.0022,0.00017999999999999998,0.00066,0.00426,0.00022999999999999998,4e-05,,4e-05,,,4.83e-05,,,,,,,,,0.08900000000000001
,4,"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,CKD,RSTD",67.85,27.13,4.07,0.95,0.0,0.0,0.0,0.042,0.907,25.0,8.0,0.1,5.0,1.08,1.52,0.93,140.0,"1 cup, chopped or diced",78.0,"1 unit,  (yield from 1 lb ready-to-cook chicken)",40.0,0.013000000000000001,0.00108,0.023,0.217,0.23600000000000002,0.051,0.00078,1.5e-05,0.000258,0.0,6.1e-05,9.300000000000001e-05,0.010469,0.00054,2.9999999999999997e-05,0.0,2.9999999999999997e-05,2.9999999999999997e-05,0.0768,3.1e-06,8e-05,0.0,0.0,0.0,0.0,0.0,0.00027,3e-06,0.075
,4,"TROUT,RAINBOW,FARMED,CKD,DRY HEAT",68.72,23.8,7.38,1.44,0.0,0.0,0.0,0.055,1.99,301.0,100.0,19.0,759.0,1.651,2.363,1.7990000000000002,71.0,1 fillet,85.0,3 oz,0.0,0.03,0.00036,0.03,0.27,0.45,0.061,0.00054,1.3000000000000001e-05,0.000281,0.0029,0.00014299999999999998,0.00010700000000000001,0.006645999999999999,0.000386,0.00011999999999999999,0.0,0.00011999999999999999,0.00011999999999999999,0.07759999999999999,4.11e-05,0.001,0.0,0.0,0.0,0.0,0.0,0.00279,1e-06,0.07
,4,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,CKD,BRSD",43.73,29.43,24.03,1.63,0.0,0.0,,0.106,0.52,0.0,0.0,,,11.5,9.37,1.25,85.0,3 oz,233.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",20.0,0.027000000000000003,0.00216,0.018000000000000002,0.2,0.151,0.052000000000000005,0.00476,2.6000000000000002e-05,4.400000000000001e-05,0.0,8e-05,0.00033,0.00626,7.000000000000001e-05,1e-05,0.0,1e-05,1e-05,,3.47e-05,0.0,,,,,,,,0.12300000000000001
,2,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",81.4,2.4,6.5,2.0,7.7,,,,,0.0,,,,1.61,1.64,2.05,126.0,1 serving,305.0,"1 package,  yields",0.0,,,,,,0.7879999999999999,,,,,,,,,,,,,,,,,,,,,,,0.006999999999999999
,4,"MCDONALD'S,BACON,EGG & CHS MCGRIDDLES",45.85,12.03,13.19,2.73,26.19,0.8,9.56,,,313.0,,,,4.2010000000000005,4.686,1.775,165.0,"1 item, 5.8 oz",,,0.0,0.109,0.00165,,,,0.6729999999999999,,,,0.0018,0.000126,0.0003,0.001319,,,,,,,,,,,,,,,,0.147
,4,"SALMON,SOCKEYE,CND,DRND SOL,WO/ SKN & BONES",67.78,26.33,5.87,1.89,0.0,0.0,0.0,0.07,,187.0,56.0,21.5,859.0,1.2109999999999999,1.925,1.551,85.0,3 oz,247.0,"1 can, drained solids, bone and skin removed",0.0,0.037000000000000005,0.00048,0.024,0.23600000000000002,0.312,0.386,0.00058,1.1e-05,0.000346,0.0,3.3e-05,0.00021400000000000002,0.007689,0.00012,4e-05,0.0,4e-05,4e-05,0.0833,5.539999999999999e-05,0.00056,0.0,0.0,0.0,0.0,0.0,0.00209,1e-06,0.066
,3,"CHOCOLATE-FLAVOR BEV MIX W/ ADDED NUTR,PREP W/ WHL MILK",80.93,3.27,3.17,0.77,11.87,0.4,11.59,0.098,0.342,149.0,42.0,1.2,47.0,1.899,0.745,0.17800000000000002,266.0,1 serving,,,0.0,0.141,3e-05,0.013999999999999999,0.084,0.14400000000000002,0.05,0.00091,6.2e-05,3.5e-05,0.0023,4.3e-05,0.00015900000000000002,9.8e-05,0.00010800000000000001,5e-05,0.0,5e-05,5e-05,0.0134,4.1e-06,0.00041,0.0,5.9999999999999995e-05,0.0,0.0,0.0,7.000000000000001e-05,3e-06,0.01
,3,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",82.48,12.39,1.02,1.39,2.72,0.0,2.72,0.027999999999999997,0.215,41.0,11.0,0.0,0.0,0.645,0.29100000000000004,0.031,113.0,4 oz,226.0,"1 cup,  (not packed)",0.0,0.061,0.00014,0.005,0.134,0.086,0.406,0.00037999999999999997,3e-06,9e-05,0.0,2.1e-05,0.000165,0.000128,6.8e-05,0.00011999999999999999,0.0,0.00011999999999999999,0.00011999999999999999,0.0175,6.3e-06,0.00011,0.0,2.9999999999999997e-05,0.0,0.0,0.0,1e-05,1e-06,0.004
,4,"OYSTER,EASTERN,FARMED,CKD,DRY HEAT",81.95,7.0,2.12,1.65,7.28,0.0,,1.4340000000000002,0.195,63.0,19.0,,,0.6829999999999999,0.23,0.713,85.0,3 oz,59.0,6 medium,0.0,0.055999999999999994,0.00777,0.033,0.115,0.152,0.163,0.04515,0.000425,0.000775,0.006,0.00013000000000000002,5.5e-05,0.0017920000000000002,7.6e-05,0.00023999999999999998,0.0,0.00023999999999999998,0.00023999999999999998,,0.00024300000000000002,0.00018999999999999998,,,,,,,,0.038
,1,"PIZZA HUT 14"" PEPPERONI PIZZA,PAN CRUST",41.17,11.47,13.07,2.51,31.79,2.0,1.95,0.10400000000000001,0.32299999999999995,,,0.0,0.0,4.823,3.844,3.409,113.0,1 slice,909.0,1 pizza,0.0,0.147,0.00257,0.022000000000000002,0.193,0.187,0.6759999999999999,0.0013599999999999999,0.000425,0.000155,0.001,0.00042,0.00021,0.00375,8.999999999999999e-05,0.00103,0.00057,0.00045999999999999996,0.00143,,5.0999999999999995e-06,,,,,,,0.0009199999999999999,0.000215,0.023
,4,"SABLEFISH,RAW",71.02,13.41,15.3,1.05,0.0,0.0,,0.022000000000000002,0.75,310.0,93.0,,,3.201,8.057,2.042,85.0,3 oz,193.0,.5 fillet,0.0,0.035,0.00128,0.055,0.168,0.358,0.055999999999999994,0.00032,1.5e-05,0.000365,0.0,0.0001,8.999999999999999e-05,0.004,0.0003,0.00015,0.0,0.00015,0.00015,,1.4999999999999999e-05,0.00093,,,,,,,,0.049
,2,"BABYFOOD,CRL,RICE W/ PEARS & APPL,DRY,INST",2.0,6.6,0.9,2.0,88.6,2.6,1.35,0.377,,0.0,0.0,0.0,0.0,0.185,0.252,0.231,15.0,1 serving,,,0.0,0.038,0.009000000000000001,0.037000000000000005,0.253,0.414,0.002,0.0033,0.001298,0.00016299999999999998,0.25,0.0016,0.0018800000000000002,0.025240000000000002,8.999999999999999e-05,5e-05,0.0,5e-05,5e-05,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.00013000000000000002,3e-06,0.0
,1,"BEAR NAKED,DOUBLE CHOC COOKIES",7.5,6.6,16.9,,66.9,7.0,35.2,,,,,0.2,8.0,4.1,8.4,4.2,30.0,1 cookie,,,0.0,,0.0037,0.054000000000000006,0.08800000000000001,0.47100000000000003,0.2,0.0008,,,,7.000000000000001e-05,4e-05,0.0003,,2e-05,,2e-05,,,,,,,,,,,,0.0
,4,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRLD",62.28,27.71,9.02,1.48,0.0,0.0,,0.145,0.71,0.0,0.0,,,3.42,3.65,0.8,85.0,3 oz,74.0,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 160 g)",36.0,0.017,0.00231,0.03,0.21899999999999997,0.34,0.08199999999999999,0.005730000000000001,2.8000000000000003e-05,0.000315,0.0,0.0001,0.00029,0.006809999999999999,0.00014,0.00022999999999999998,0.0,0.00022999999999999998,0.00022999999999999998,,2.9999999999999997e-05,0.0,,,,,,0.0002,,0.092
,3,"DAIRY DRK MIX,CHOC,RED CAL,W/ LOW-CALORIE SWEETENERS,PDR",12.8,25.0,2.6,8.2,51.4,9.4,32.94,0.8,2.1390000000000002,698.0,209.0,4.7,188.0,1.871,0.496,0.061,21.0,"1 packet,  (.75 oz)",,,0.0,1.412,0.0077,0.21,0.893,2.24,0.659,0.0036,0.00073,0.000215,0.0056,0.00011200000000000001,0.0019379999999999998,0.00125,0.00011,0.00033,0.0,0.00033,0.00033,0.12830000000000005,2.0300000000000002e-05,0.00209,0.0,1e-05,0.0,0.0,0.00011999999999999999,4e-05,8e-06,0.024
,4,"BEEF,TOP LOIN FILET,BNLS,LN & FAT,1/8"" FAT,ALL GRDS,CKD,GRLD",56.8,27.4,14.1,1.1,0.6,0.0,0.0,0.166,,24.0,7.0,0.2,6.0,4.817,6.354,0.47600000000000003,135.0,1 fillet,,,10.0,0.006999999999999999,0.0033,0.027000000000000003,0.23600000000000002,0.376,0.09300000000000001,0.01042,,0.000339,0.0,7.8e-05,0.000273,0.0041270000000000005,0.000417,7e-05,0.0,7e-05,7e-05,,3.96e-05,7e-05,0.0,0.0,0.0,0.0,0.0,,1.6e-05,0.086
,5,"CORNSALAD,RAW",92.8,2.0,0.4,1.2,3.6,,,0.134,0.042,7092.0,355.0,0.0,0.0,,,,56.0,1 cup,,,,0.038,0.00218,0.013000000000000001,0.053,0.45899999999999996,0.004,0.0005899999999999999,0.000359,9e-06,0.038200000000000005,7.099999999999999e-05,8.7e-05,0.00041500000000000006,0.000273,0.00014,0.0,0.00014,0.00014,,0.0,0.0,,,,,,,,0.0
,1,"CANDIES,SKOR TOFFEE BAR",1.57,3.13,32.18,1.2,61.72,1.3,59.89,0.04,0.04,718.0,,,,18.78,9.29,1.28,39.0,"1 bar, 1.4 oz",,,0.0,,0.00057,0.01,0.061,0.153,0.317,0.00016999999999999999,0.0,0.0,0.0005,2e-05,0.0001,0.00013000000000000002,,2.9999999999999997e-05,,,,,,,,,,,,,,0.053
,4,"MORNINGSTAR FARMS CHIK'N NUGGETS,FRZ,UNPREP",50.9,14.4,10.0,2.9,21.8,4.9,2.2,,,39.0,,,,1.5,2.7,5.3,86.0,4 nuggets,,,0.0,0.075,0.0021000000000000003,0.004,0.175,0.379,0.7020000000000001,0.0008,,,0.0002,0.0004,0.0001,0.0047,0.0002,,,,,,2.1e-05,,,,,,,,,0.0
,4,"BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,ALL GRDS,CKD,BRLD",62.93,29.04,8.39,1.13,0.0,0.0,0.0,0.086,0.5820000000000001,0.0,0.0,0.1,5.0,3.195,3.35,0.319,28.0,1 oz,453.6,1 lb,18.0,0.019,0.0018399999999999998,0.025,0.23,0.37,0.06,0.005379999999999999,1.1e-05,0.000337,0.0,7.900000000000001e-05,0.000147,0.00831,0.0006230000000000001,0.0001,0.0,0.0001,0.0001,0.1106,1.66e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,1.4000000000000001e-05,0.08199999999999999
,1,"TEFF,UNCKD",8.82,13.3,2.38,2.37,73.13,8.0,1.84,0.81,0.9420000000000001,9.0,0.0,,,0.449,0.589,1.071,193.0,1 cup,,,0.0,0.18,0.00763,0.184,0.429,0.42700000000000005,0.012,0.0036299999999999995,0.00924,4.400000000000001e-05,,0.00039,0.00027,0.003363,0.000482,,,,,0.0131,,,0.0,5e-05,0.0,0.0,0.00066,8e-05,1.9e-05,
,1,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",2.2,5.3,3.2,4.2,85.1,5.6,35.0,0.20600000000000002,0.33799999999999997,1613.0,472.0,3.2,129.0,0.4,1.6,1.0,31.0,".75 cup,  (1 NLEA serving)",,,0.0,0.32299999999999995,0.0145,0.026000000000000002,0.129,0.20600000000000002,0.772,0.0121,0.001848,5.6000000000000006e-05,0.0194,0.0012,0.0014,0.0161,0.0016129999999999999,0.00323,0.0030399999999999997,0.00018999999999999998,0.00535,0.0152,4.8e-05,0.0047,0.00013000000000000002,0.00021,0.0,0.0,0.0041,0.00064,2e-05,0.0
,4,"BEEF,NZ,IMP,BOLAR BLADE,LN,RAW",73.11,22.09,4.49,0.98,0.0,0.0,0.0,0.145,0.546,21.0,6.0,0.1,5.0,1.347,1.68,0.242,113.0,4 oz,,,7.0,0.004,0.00206,0.022000000000000002,0.19,0.325,0.055,0.0036299999999999995,1.3000000000000001e-05,1e-05,0.0,4.8e-05,0.000109,0.0031420000000000003,0.000331,,,,,,1.8e-05,5.9999999999999995e-05,0.0,0.0,0.0,0.0,0.0,0.0004,,0.055999999999999994
,4,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN,RAW",72.93,22.41,3.42,1.01,0.0,0.0,0.0,0.057,0.746,0.0,0.0,0.3,13.0,1.208,1.546,0.366,85.0,3 oz,185.0,1 chop,17.0,0.005,0.0005099999999999999,0.027000000000000003,0.23399999999999999,0.387,0.049,0.00159,8e-06,0.00034500000000000004,0.0,0.0006929999999999999,0.00018999999999999998,0.008265,0.0007559999999999999,0.0,0.0,0.0,0.0,0.0596,5.0999999999999995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00013000000000000002,0.0,0.066
,1,"CORN,DRIED (NAVAJO)",8.1,9.88,5.22,1.86,74.93,,5.38,0.195,0.38,,,,,0.82,1.483,1.9,,,,,0.0,0.015,0.00192,0.124,0.337,0.511,0.013000000000000001,0.00305,0.000848,,0.0,0.0002,6.8e-05,0.0033,0.00037200000000000004,0.0007700000000000001,,0.0007700000000000001,,,,,,,,,,0.0,9e-06,
,5,"BUTTERBUR,CANNED",97.92,0.11,0.13,1.46,0.38,,,0.037000000000000005,0.011000000000000001,0.0,0.0,0.0,0.0,,,,124.0,"1 cup, chopped",45.0,3 stalks,0.0,0.034,0.00063,0.002,0.004,0.012,0.004,6e-05,9.8e-05,9e-06,0.0119,6e-06,6e-06,0.00014,3.3e-05,2.9999999999999997e-05,0.0,2.9999999999999997e-05,2.9999999999999997e-05,,0.0,0.0,,,,,,,,0.0
,5,"PEPPERS,SWT,GRN,FRZ,CHOPD,BLD,DRND,WO/SALT",94.7,0.95,0.18,0.27,3.9,0.9,,0.044000000000000004,0.023,290.0,15.0,0.0,0.0,0.027000000000000003,0.012,0.099,,,,,0.0,0.008,0.0005200000000000001,0.006999999999999999,0.013000000000000001,0.07200000000000001,0.004,5e-05,9.7e-05,2e-06,0.0412,5.1e-05,3.1e-05,0.001082,0.00010800000000000001,0.0001,0.0,0.0001,0.0001,,0.0,0.0,,,,,,,,0.0
,1,"INF FORMU,ME JOHNS,ENFAM,NUTRA,LIPI,W/ IRO,RTF,W/ ARA & DHA",87.38,1.83,3.5,0.48,6.81,0.0,5.13,0.05,,193.0,58.0,0.8,33.0,1.453,1.255,0.67,107.0,"1 serving, 100 ml",30.5,1 fl oz,0.0,0.062,0.0011799999999999998,0.006999999999999999,0.042,0.07200000000000001,0.031,0.00066,,1.8e-05,0.0079,5.2000000000000004e-05,5.9e-05,0.00066,4e-05,0.00011,0.00011,0.0,0.00018,0.008,1.9e-06,0.00058,0.0,0.0,0.0,0.0,0.0,0.0008699999999999999,5.2e-05,0.0
,4,"VEAL,LEG (TOP RND),LN,CKD,PAN-FRIED,BREADED",53.14,28.41,6.27,2.34,9.84,0.2,0.57,0.07400000000000001,1.11,34.0,10.0,0.0,0.0,1.6,2.16,1.35,85.0,3 oz,295.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,0.039,0.00164,0.032,0.258,0.38299999999999995,0.455,0.0028699999999999997,0.00013700000000000002,0.000135,0.0,0.00016,0.00036,0.0108,0.00042,0.00028,8e-05,0.0002,0.00033999999999999997,0.1179,1.28e-05,0.0001,0.0,0.0,0.0,0.0,0.0,0.00053,5.1e-05,0.113
,5,"LITCHIS,DRIED",22.3,3.8,1.2,2.0,70.7,4.6,66.1,0.631,,0.0,0.0,0.0,0.0,0.27,0.32799999999999996,0.361,2.0,1 fruit,,,46.0,0.033,0.0017,0.042,0.18100000000000002,1.11,0.003,0.00028000000000000003,0.000234,1.3e-05,0.183,1e-05,0.00057,0.0031,8.999999999999999e-05,0.00011999999999999999,0.0,0.00011999999999999999,0.00011999999999999999,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031,1.6e-05,0.0
,1,"RESTAURANT,CHINESE,FRIED RICE,WO/ MEAT",59.09,4.05,2.96,1.12,32.79,1.1,0.56,0.095,,279.0,22.0,0.0,0.0,0.54,0.649,1.111,137.0,1 cup,,,0.0,0.012,0.00066,0.01,0.051,0.076,0.387,0.0007199999999999999,0.000433,8.300000000000001e-05,0.0038,1.5e-05,2.6000000000000002e-05,0.000637,3.2e-05,5.9999999999999995e-05,0.0,5.9999999999999995e-05,5.9999999999999995e-05,0.0055,0.0,0.0001,0.00037999999999999997,0.00128,0.0,2.9999999999999997e-05,0.00103,0.00013000000000000002,2.8000000000000003e-05,0.018000000000000002
,4,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,SEL,RAW",63.52,19.71,15.73,0.84,0.2,0.0,0.0,0.068,,9.0,3.0,0.1,5.0,5.92,6.752000000000001,0.622,85.0,3 oz,1562.0,1 ribs,63.0,0.009000000000000001,0.00186,0.02,0.138,0.264,0.059000000000000004,0.00475,,0.000192,0.0,9.1e-05,0.00023199999999999997,0.004861,0.000475,2.9999999999999997e-05,0.0,2.9999999999999997e-05,2.9999999999999997e-05,,1.7800000000000002e-05,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,,1.4999999999999999e-05,0.067
,4,"LAMB,NZ,IMP,TONGUE - SWISS CUT,RAW",66.5,14.27,18.61,0.77,0.0,0.0,0.0,0.152,0.44,18.0,5.0,0.1,5.0,5.896,6.404,1.041,113.0,4 oz,,,26.0,0.006,0.00125,0.015,0.142,0.207,0.077,0.00155,1.7999999999999994e-05,5.400000000000001e-05,0.0,0.0001,0.000293,0.003078,9.7e-05,,,,,,6.1e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.00057,,0.08800000000000001
,4,"SALMON,SOCKEYE,CND,WO/SALT,DRND SOL W/BONE",68.72,20.47,7.31,2.7,0.0,0.0,,0.084,0.55,176.0,53.0,,,1.6440000000000001,2.7760000000000002,2.2769999999999997,85.0,3 oz,369.0,1 can,0.0,0.239,0.00106,0.028999999999999998,0.326,0.377,0.075,0.0010199999999999999,3e-05,0.000354,0.0,1.6e-05,0.000193,0.0054800000000000005,0.0003,0.0001,0.0,0.0001,0.0001,,3e-06,0.00053,,,,,,,,0.044000000000000004
,4,"PATE,CHICKEN LIVER,CANNED",65.64,13.45,13.1,1.26,6.55,0.0,0.0,0.18,2.62,724.0,217.0,0.0,0.0,4.0,5.28,2.46,13.0,1 tbsp,28.35,1 oz,0.0,0.01,0.00919,0.013000000000000001,0.175,0.095,0.386,0.00214,0.000162,0.000461,0.01,5.2000000000000004e-05,0.001401,0.007517,0.00026000000000000003,0.00321,0.0,0.00321,0.00321,0.2288,8.070000000000001e-05,0.00217,0.0,0.0,0.0,0.0,0.0,0.00098,0.0,0.391
,5,"CAULIFLOWER,GREEN,RAW",89.79,2.95,0.3,0.88,6.09,3.2,3.03,0.040999999999999995,0.696,155.0,8.0,0.0,0.0,0.047,0.027999999999999997,0.133,64.0,1 cup,25.0,1 floweret,39.0,0.033,0.00073,0.02,0.062,0.3,0.023,0.00064,0.00024700000000000004,6e-06,0.0881,8e-05,0.000102,0.000734,0.00022200000000000003,0.00057,0.0,0.00057,0.00057,0.0571,0.0,0.0,0.0,0.00093,0.0,0.0,0.00042,4e-05,0.000202,0.0
,4,ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),90.4,3.8,0.5,3.1,0.0,,,,,0.0,,,,0.1,0.12,0.2,,,,,0.0,0.047,0.0033,,,0.102,0.6559999999999999,,,,0.0,0.0,0.0002,0.0,,,,,,,,,,,,,,,,0.006999999999999999
,5,"FAST FOODS,SALAD,VEG,TOSSED,WO/DRSNG,W/CHICK",87.05,8.0,1.0,0.7,1.71,,,0.043,0.27,429.0,24.0,,,0.265,0.311,0.255,218.0,1.5 cup,,,0.0,0.017,0.0005,0.015,0.078,0.205,0.096,0.00041,0.00011399999999999999,7.099999999999999e-05,0.008,5e-05,6e-05,0.0027,0.0002,0.00031,0.0,0.00031,0.00031,,9.000000000000001e-07,2.9999999999999997e-05,,,,,,,,0.033
,4,"BEEF,BRISKET,FLAT HALF,LN,1/8"" FAT,ALL GRDS,RAW",73.76,21.57,3.84,1.01,0.0,0.0,0.0,0.09300000000000001,0.638,0.0,0.0,,,1.425,1.611,0.166,28.0,1 oz,453.6,1 lb,28.0,0.016,0.00192,0.023,0.20199999999999999,0.336,0.07400000000000001,0.005520000000000001,1.4000000000000001e-05,0.00025100000000000003,0.0,7.900000000000001e-05,0.000156,0.004947,0.000519,0.00013000000000000002,0.0,0.00013000000000000002,0.00013000000000000002,0.0901,1.84e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,1.1e-05,0.065
,1,"KEEBLER,CHS & PNUT BUTTER SNDWCH CRACKERS",2.0,10.8,24.5,,59.0,3.2,9.0,,,,,,,3.7,8.4,12.0,39.0,1 package,,,0.0,0.05,0.0035,0.012,0.183,0.068,0.843,,,,,0.00043,0.00028000000000000003,0.0037,,0.00112,,,,,,,,,,,,,,0.0
,4,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRI",62.11,28.15,9.23,1.13,0.0,0.0,0.0,0.126,1.025,6.0,2.0,0.1,5.0,3.7710000000000004,4.5089999999999995,0.52,85.0,3 oz,186.0,1 steak,18.0,0.013999999999999999,0.00314,0.023,0.22399999999999998,0.39,0.087,0.00982,1.6e-05,0.000314,0.0,8.999999999999999e-05,0.00031299999999999996,0.00434,0.000404,7e-05,0.0,7e-05,7e-05,0.1053,5.18e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.00014,1.6e-05,0.095
,2,"INF FORMULA. MEAD JOHNSON, PREGESTIMIL, W/IRON, PDR,NO RECON",2.0,14.0,28.0,3.2,52.8,0.0,51.0,0.38,,1900.0,570.0,7.0,278.0,16.8,4.6,6.5,8.0,1 scoop,,,0.0,0.58,0.0094,0.055,0.38,0.55,0.24,0.005,,0.00014,0.06,0.0004,0.00045,0.005,0.0003,0.0008,0.0008,0.0,0.0013599999999999999,0.06,1.4999999999999999e-05,0.0057,0.0,0.0,0.0,0.0,0.0,0.0134,0.0006,0.002
,5,"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT",60.73,0.83,11.32,3.07,24.06,1.2,17.31,0.0,0.0,311.0,16.0,0.0,0.0,0.746,6.468,2.6919999999999997,15.0,1 tablespoon,245.0,1 cup,0.0,0.027000000000000003,0.0009,0.006999999999999999,0.013999999999999999,0.20199999999999999,0.955,0.00018999999999999998,0.00012,0.0,0.0015,4.900000000000001e-05,4.3e-05,0.000437,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0015400000000000001,0.00065,0.030969999999999998,0.001,0.001,0.00027600000000000004,0.011000000000000001
,3,"SOUR CREAM,REDUCED FAT",71.0,7.0,14.1,0.9,7.0,0.0,0.3,0.01,,436.0,119.0,0.3,10.0,8.7,4.1,0.5,12.0,1 tablespoon,230.0,1 cup,0.0,0.141,6e-05,0.011000000000000001,0.085,0.21100000000000002,0.07,0.00027,,4.1e-05,0.0009,4e-05,0.00024,7.000000000000001e-05,2e-05,0.00011,0.0,0.00011,0.00011,0.0192,3e-06,0.00117,0.0,0.00027,0.0,0.0,0.0,0.0004,7.000000000000001e-06,0.035
,4,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,PRIME,RAW",53.22,16.74,29.18,0.8,0.0,0.0,,0.057,0.28,0.0,0.0,,,12.07,12.84,1.04,28.0,1 oz,453.6,1 lb,18.0,0.01,0.0017699999999999999,0.017,0.16,0.28600000000000003,0.053,0.0036200000000000004,1.2e-05,0.00016299999999999998,0.0,8e-05,0.00013000000000000002,0.0030800000000000003,0.00035,5e-05,0.0,5e-05,5e-05,,2.9700000000000007e-05,0.0,,,,,,,,0.07
,1,"COOKIES,CHOC SNDWCH,W/CREME FILLING,SPL DIETARY",4.2,4.5,22.1,1.2,68.0,4.1,19.73,0.22,0.359,4.0,1.0,0.0,0.0,3.992,9.207,7.919,28.0,1 oz,10.0,1 cookie,0.0,0.098,0.004719999999999999,0.026000000000000002,0.2,0.295,0.342,0.00058,0.000403,3.700000000000001e-05,0.0,0.000524,0.000292,0.003971,3.3e-05,0.00062,0.0005200000000000001,0.0001,0.00098,0.0098,4e-07,1e-05,0.0,0.0,0.0,0.0,2.9999999999999997e-05,0.00164,5.400000000000001e-05,0.0
