,Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Copper_mg),Panto_Acid_mg),Vit_A_IU,Vit_A_RAE,Vit_D_µg,Vit_D_IU,FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_K_(g),Cholestrl_(g),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Energ_Kcal
1351,"BEEF,RND,BTTM RND,STEAK,LN,0"" FAT,CHOIC,CKD,BRSD",57.36,33.08,9.03,1.02,0.0,0.0,0.0,0.078,0.65,0.0,0.0,,,3.152,3.807,0.337,0.007,0.0029300000000000003,0.022,0.209,0.271,0.043,0.00579,1.1e-05,0.00037799999999999997,0.0,6.900000000000001e-05,0.000207,0.006356,0.000462,0.00011,0.0,0.00011,0.00011,0.126,1.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,1.6e-05,0.095,85.0,3 oz,191.0,"1 steak,  (yield from 299 g raw meat)",2.0,223
1352,"ENGLISH MUFFINS,WHEAT,TSTD",37.2,9.4,2.1,2.5,48.7,5.0,1.7,0.163,0.214,2.0,0.0,0.0,0.0,0.312,0.305,0.906,0.193,0.00312,0.042,0.125,0.202,0.384,0.00122,0.0011200000000000001,0.00031800000000000003,0.0,0.000375,0.00028599999999999996,0.003283,9.800000000000001e-05,0.00059,0.00029,0.0003,0.00079,0.0157,0.0,0.0,0.0,2e-05,0.0,0.0,0.00095,0.00049,9e-06,0.0,28.0,1 oz,52.0,1 muffin,0.0,243
1353,"SALMON,CHUM,DRND SOL W/BONE",70.77,21.43,5.5,2.47,0.0,0.0,0.0,0.1,0.56,60.0,18.0,9.6,386.0,1.486,1.919,1.517,0.249,0.0007,0.03,0.354,0.3,0.391,0.001,2e-05,0.00043299999999999995,0.0,2e-05,0.00016,0.007,0.00038,0.0002,0.0,0.0002,0.0002,0.085,4.4000000000000006e-05,0.00018,0.0,0.0,0.0,0.0,0.0,0.0016,1e-06,0.039,85.0,3 oz,369.0,1 can,0.0,141
1354,"CAMPBELL'S RED & WHITE,BF BROTH,COND",94.9,2.42,0.0,1.87,0.81,0.0,0.81,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.032,0.694,,,,,,,,,,,,,,,,,,,,,,,0.0,124.0,"1 serving, 1/2 cup",,,0.0,12
1355,"BABYFOOD,VEG,MIX VEG JR",89.4,1.4,0.4,0.6,8.2,1.5,1.78,0.041,0.259,4195.0,210.0,0.0,0.0,0.079,0.025,0.186,0.011,0.00041,0.011,0.025,0.17,0.036,0.00027,,7e-06,0.0025,2.9e-05,3.2e-05,0.000665,8.1e-05,4e-05,0.0,4e-05,4e-05,0.009699999999999999,0.0,0.0,0.00915,0.0206,0.0,0.0,0.00497,0.0005200000000000001,7.400000000000001e-05,0.0,99.0,"1 serving,  3.5 oz serving",15.0,1 tbsp,0.0,36
1356,"OSCAR MAYER,SALAMI BF COTTO",64.5,14.2,15.7,3.8,1.9,0.0,1.1,0.23,,,,,,6.74,6.91,0.78,0.007,0.00271,0.017,0.224,0.207,1.309,0.00209,,,0.0,,,,,,,,,,,,,,,,,,,0.083,46.0,"1 serving,  2 slices",23.0,1 slice,0.0,206
1357,"POTATOES,FRENCH FR,SHOESTRNG,SALT ADDED IN PROC,FRZ,OVEN-HTD",56.62,2.9,6.76,2.07,31.66,2.8,0.31,0.114,0.554,5.0,0.0,0.0,0.0,1.267,4.058,0.345,0.012,0.0008,0.025,0.112,0.505,0.4,0.00043,0.000187,6e-06,0.014199999999999999,0.000129,3.4e-05,0.00228,0.000192,0.00033,,0.00033,,,0.0,,0.0,3e-05,0.0,0.0,0.00017,0.00016,2.7000000000000002e-05,0.0,21.0,10 strip,,,0.0,199
1358,"BEEF,SHLDR TOP BLADE STK,BNLES,LN & FAT,0"" ,ALL GRDS,CKD,G",61.04,27.59,11.07,1.11,0.0,0.0,0.0,0.123,1.005,22.0,7.0,0.1,5.0,4.528,5.298,1.034,0.014,0.00304,0.023,0.217,0.379,0.085,0.00948,1.4999999999999999e-05,0.000307,0.0,8.9e-05,0.000305,0.004268,0.000397,7e-05,0.0,7e-05,7e-05,0.1028,5.04e-05,7e-05,0.0,0.0,0.0,0.0,0.0,0.00013000000000000002,1.6e-05,0.095,85.0,3 oz,186.0,1 steak,15.0,210
1359,"POTATO PUFFS,FRZ,OVEN-HEATED",59.65,2.13,9.05,1.89,27.29,2.0,0.27,0.079,0.32,5.0,0.0,0.0,0.0,1.657,4.544,2.354,0.014,0.00058,0.017,0.084,0.287,0.463,0.0003,0.000127,4e-06,0.004,6.900000000000001e-05,3.7e-05,0.001449,0.000121,0.00023,0.0,0.00023,0.00023,0.0254,0.0,0.0,0.0,3e-05,0.0,0.0,0.00016,0.00026000000000000003,3.7000000000000005e-05,0.0,79.0,10 puffs,60.0,10 Crispy Crowns,0.0,192
1360,"PUFF PASTRY,FRZ,RTB",8.5,7.3,38.1,1.0,45.1,1.5,0.74,0.114,0.0,1.0,0.0,,,9.643,21.597,4.894,0.01,0.00256,0.016,0.06,0.061,0.249,0.00053,0.000488,0.000242,0.0,0.000398,0.000283,0.004168,2.1000000000000002e-05,0.00078,0.00065,0.00013,0.00124,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.00054,0.000161,0.0,28.0,1 oz,47.0,1 shell,0.0,551
1361,"CRACKERS,RUSK TOAST",5.5,13.5,7.2,1.2,72.3,,,0.245,0.605,41.0,12.0,,,1.376,2.755,2.31,0.027,0.00272,0.036,0.153,0.245,0.253,0.0011,0.000439,0.000201,0.0,0.000404,0.000399,0.004625,4.7e-05,0.00087,0.00023,0.00064,0.00103,,1.8e-06,0.00012,,,,,,,,0.078,14.0,.5 oz,10.0,1 rusk,0.0,407
1362,"MARGARINE-LIKE,VEG OIL SPRD,20% FAT,WO/ SALT",78.8,0.0,19.5,1.3,0.4,0.0,0.0,0.0,,3577.0,819.0,0.0,0.0,2.87,7.48,8.04,0.0,0.0,0.001,0.014,0.025,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.0,0.00768,0.0,0.0061,0.0,0.0,0.0,0.0045,0.00093,0.0,12.0,1 tbsp,205.0,1 cup,0.0,175
1363,"BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT",66.57,7.05,0.76,1.61,24.02,9.4,,0.115,0.222,3.0,0.0,0.0,0.0,0.083,0.052,0.453,0.063,0.00108,0.056,0.102,0.37,0.006,0.00064,0.000382,1.2e-05,0.0012,0.00013000000000000002,6.2e-05,0.000546,0.00010499999999999999,0.00075,0.0,0.00075,0.00075,,0.0,0.0,,,,,,,,0.0,177.0,1 cup,,,0.0,129
1364,"PUMPKIN,CKD,BLD,DRND,WO/SALT",93.69,0.72,0.07,0.62,4.9,1.1,2.08,0.091,0.201,5755.0,288.0,0.0,0.0,0.037,0.009,0.004,0.015,0.00057,0.009,0.03,0.23,0.001,0.00023,8.9e-05,2e-06,0.0047,3.1e-05,7.8e-05,0.00041299999999999996,4.4e-05,9e-05,0.0,9e-05,9e-05,0.0062,0.0,0.0,0.02715,0.02096,0.0,0.0,0.01014,0.0008,8e-06,0.0,245.0,"1 cup, mashed",,,0.0,20
1365,"MORNINGSTAR FARMS GARDEN VEGGIE PATTIES,FRZ,UNPREP",59.9,17.8,5.5,3.1,13.7,4.5,1.8,,,373.0,,,,0.8,1.5,3.2,0.059,0.0022,,0.164,0.21,0.525,0.001,,,0.0011,0.0112,0.0003,0.0014,0.0009,,,,,,,,,,,,,,,0.002,252.0,1 cup,3175.0,"1 package,  yields",0.0,176
1366,"TURKEY AND GRAVY,FROZEN",85.07,5.88,2.63,1.81,4.61,0.0,,0.022,0.213,42.0,13.0,,,0.85,0.97,0.47,0.014,0.00093,0.008,0.081,0.061,0.554,0.0007,5e-06,0.000192,0.0,2.4e-05,0.000127,0.001799,0.0001,4e-05,0.0,4e-05,4e-05,,2.4e-06,0.00013,,,,,,,,0.018,85.0,3 oz,142.0,"1 package,  (net weight, 5 oz)",0.0,67
1367,"BABYFOOD,FRUIT,PEARS,JR",87.8,0.3,0.1,0.2,11.6,3.6,7.34,0.08,0.095,18.0,1.0,0.0,0.0,0.006,0.021,0.023,0.008,0.00025,0.009,0.012,0.115,0.001,8e-05,,4e-06,0.022,1.4e-05,2.9999999999999997e-05,0.000188,1e-05,4e-05,0.0,4e-05,4e-05,0.0023,0.0,0.0,0.0,0.0001,1e-05,0.0,0.00038,0.0006,3.4e-05,0.0,16.0,1 tbsp,28.35,1 oz,0.0,44
1368,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,CKD,GRILLE",60.09,27.39,11.75,1.06,0.0,0.0,0.0,0.087,0.59,5.0,1.0,0.1,4.0,4.645,5.433,0.554,0.008,0.00265,0.025,0.174,0.282,0.06,0.00697,8.7e-05,0.00033,0.0,8e-05,0.000335,0.005545,0.000514,7e-05,0.0,7e-05,7e-05,0.0577,2.37e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.00011999999999999999,1.6e-05,0.08,85.0,3 oz,242.0,1 steak,27.0,215
1369,"CHEESE,CHEDDAR",37.1,24.04,33.82,3.71,1.33,0.0,0.28,0.056,0.481,994.0,263.0,0.6,24.0,19.368,8.428,1.433,0.675,0.00016,0.027,0.473,0.076,0.644,0.0034300000000000003,3.3e-05,0.000283,0.0,2.7e-05,0.000434,3.9e-05,4.9000000000000005e-05,0.00026,0.0,0.00026,0.00026,0.0165,8.8e-06,0.00256,0.0,0.00085,0.0,0.0,0.0,0.00078,2.9e-05,0.102,132.0,"1 cup, diced",244.0,"1 cup, melted",0.0,406
1370,"PEACHES,CND,JUC PK,SOL&LIQUIDS",87.49,0.63,0.03,0.27,11.57,1.3,10.27,0.05,0.05,381.0,19.0,0.0,0.0,0.004,0.012,0.016,0.006,0.00027,0.007,0.017,0.128,0.004,0.00011,4.8e-05,3e-06,0.0036,8e-06,1.7e-05,0.0005819999999999999,1.9e-05,3e-05,0.0,3e-05,3e-05,0.0040999999999999995,0.0,0.0,1e-05,0.00189,0.00078,0.0,0.00061,0.00049,1.7e-05,0.0,250.0,1 cup,248.0,"1 cup, halves or slices",0.0,44
1371,"FRUIT COCKTAIL,CND,EX LT SYRUP,SOL&LIQUIDS",87.7,0.4,0.07,0.2,11.63,1.1,,0.1,0.062,233.0,12.0,0.0,0.0,0.01,0.014,0.031,0.008,0.0003,0.006,0.012,0.104,0.004,8e-05,0.000147,,0.003,2.9999999999999997e-05,1e-05,0.0005,5.1e-05,3e-05,0.0,3e-05,3e-05,,0.0,0.0,,,,,,,,0.0,123.0,.5 cup,,,0.0,45
1372,"MUFFIN,BLUEBERRY,COMMLY PREP,LOW-FAT",39.94,4.23,4.22,1.56,50.05,4.2,27.05,0.08,0.251,39.0,10.0,0.1,3.0,1.549,0.86,1.363,0.035,0.002,0.01,0.125,0.096,0.413,0.00127,0.000785,9.800000000000001e-05,0.0009,0.000163,0.000175,0.001375,4.2000000000000004e-05,0.00048,0.00036,0.00012,0.00073,0.0517,1.6e-06,0.0001,0.0,3e-05,1e-05,0.0,0.00056,0.00039,5.7e-05,0.028,71.0,"1 muffin,  small",28.35,1 oz,0.0,255
1373,"COOKIES,SUGAR,REFR DOUGH,BKD",5.0,4.7,23.1,1.7,65.6,0.8,23.96,0.041,0.151,37.0,12.0,0.0,0.0,5.906,13.01,2.891,0.09,0.00184,0.008,0.187,0.163,0.321,0.00027,0.000289,3.5e-05,0.0,0.000182,0.000122,0.002412,2.3e-05,0.0007,0.00064,6e-05,0.00115,0.009300000000000001,7.000000000000001e-07,0.00012,0.0,0.0,0.0,0.0,9e-05,0.00020999999999999998,9.800000000000001e-05,0.032,28.0,1 oz,15.0,"1 cookie,  1 rolled cookie dough",0.0,484
1374,"PREGO PASTA,DICED ONION & GARLIC ITAL SAU,RTS",79.7,1.54,3.46,1.45,13.85,2.3,9.23,,,577.0,,,,1.154,,,0.031,0.00055,,,0.338,0.369,,,,0.0009,,,,,,,,,,,,,,,,,,,0.0,130.0,"1 serving, 1/2 cup",,,0.0,92
1375,"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",77.66,0.51,0.09,0.29,21.45,1.6,,0.065,0.092,1240.0,62.0,0.0,0.0,0.006,0.037,0.017,0.009,0.00043,0.008,0.013,0.134,0.011,0.0001,5.1e-05,,0.0028,1.9e-05,2.3e-05,0.000416,5.4e-05,2e-05,0.0,2e-05,2e-05,,0.0,0.0,,,,,,,,0.0,258.0,"1 cup, whole, without pits",,,6.0,83
1376,"TURKEY,THIGH,FROM WHL BIRD,ENHANCED,MEAT ONLY,RSTD",66.85,26.1,6.0,1.24,0.0,0.0,0.0,0.128,1.015,18.0,5.0,0.3,10.0,1.807,2.061,1.662,0.016,0.00107,0.024,0.208,0.227,0.201,0.0034,1.7e-05,0.000314,0.0,5.6e-05,0.000335,0.006827,0.000435,8e-05,0.0,8e-05,8e-05,0.09029999999999999,1.6499999999999998e-05,5e-05,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,0.0,0.105,85.0,3 oz,327.0,1 thigh,24.0,158
1377,"TOASTER PASTRIES,KELLOGG,KELLOGG'S POP TARTS,FRSTD WLD BERRY",12.75,4.0,9.5,,72.4,1.3,31.7,,,962.0,289.0,,,3.1,2.1,3.5,,0.0035,0.006,0.042,0.051,0.315,0.0003,,,,0.00029,0.00033,0.0038,0.0004,0.00077,,,,,,,,,,,,,,0.0,52.0,1 pastry,,,0.0,390
1378,"OIL,PALM",0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,49.3,37.0,9.3,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01594,8e-05,0.0,13.0,1 tbsp,216.0,1 cup,0.0,884
1379,"CHERRIES,SOUR,RED,RAW",86.13,1.0,0.3,0.4,12.18,1.6,8.49,0.104,0.143,1283.0,64.0,0.0,0.0,0.068,0.082,0.09,0.016,0.00032,0.009,0.015,0.173,0.003,0.0001,0.000112,0.0,0.01,2.9999999999999997e-05,4e-05,0.0004,4.4e-05,8e-05,0.0,8e-05,8e-05,0.0060999999999999995,0.0,0.0,0.0,0.0077,0.0,0.0,0.00085,7.000000000000001e-05,2.1000000000000002e-05,0.0,155.0,"1 cup, without pits",103.0,"1 cup, with pits yields",10.0,50
1380,"BABYFOOD,JUC,ORANGE&PNAPPL",87.3,0.5,0.1,0.4,11.7,0.1,,0.044,0.059,31.0,2.0,,,0.01,0.014,0.024,0.008,0.00041999999999999996,0.009,0.009,0.141,0.002,4e-05,,1e-06,0.053399999999999996,5e-05,2.3e-05,0.000194,6.2e-05,0.00019,0.0,0.00019,0.00019,,0.0,0.0,,,,,,0.0006,,0.0,31.0,1 fl oz,127.0,1 jar,0.0,48
1381,"KEEBLER,VANILLA WAFERS MINIS,RAINBOW",4.1,4.0,18.3,,72.3,1.3,31.1,,,,,,,6.0,4.1,6.8,,,,0.041,0.083,0.4,,,,,0.00041999999999999996,0.00023,0.0025,,0.00087,,,,,,,,,,,,,,0.001,30.0,18 cookies,,,0.0,466
1382,CAMPBELL'S MICROWAVABLE BF GRAVY,90.0,1.69,1.69,1.53,5.08,0.0,1.69,,,0.0,,,,0.847,,,0.0,0.0,,,,0.475,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,59.0,.25 cup,,,0.0,42
1383,"FROZEN NOVELTIES,JUC TYPE,POPSICLE SCRIBBLERS",79.96,0.0,0.24,0.12,19.68,0.0,14.57,0.0,,,,,,,,,0.005,0.0003,0.003,0.002,0.023,0.013,7.000000000000001e-05,0.0,,0.0012,,,,,,,,,,,,,,,,,,,,33.0,"1 serving,  1.2 fl oz pop",,,0.0,81
1384,"KEEBLER,CINN TOAST GRAHAMS",3.5,7.3,13.2,,73.9,4.8,26.0,,,1500.0,450.0,,,4.3,2.9,4.9,0.3,0.0034,0.053,0.148,0.199,0.447,0.0012,,,,0.0009,0.00076,0.0081,0.0009599999999999999,0.0007,,,,,,,,,,,,0.00045,,0.0,37.0,1 package,,,0.0,429
1385,FISH BROTH,96.0,2.0,0.6,0.97,0.4,0.0,0.09,0.051,,4.0,1.0,0.0,0.0,0.133,0.108,0.245,0.03,0.00020999999999999998,0.001,0.03,0.086,0.318,0.0001,,7e-06,0.0,0.0,2.9999999999999997e-05,0.0013700000000000001,1e-05,4e-05,0.0,4e-05,4e-05,0.0092,1e-06,1e-05,0.0,0.0,0.0,0.0,0.0,0.00015,2e-06,0.0,244.0,1 cup,30.5,1 fl oz,0.0,16
1386,"WHEY,SWEET,FLUID",93.12,0.85,0.36,0.53,5.14,0.0,5.14,0.004,0.383,12.0,3.0,,,0.23,0.1,0.011,0.047,5.9999999999999995e-05,0.008,0.046,0.161,0.054,0.00013000000000000002,1e-06,1.8999999999999998e-05,0.0001,3.5999999999999994e-05,0.000158,7.4e-05,3.1e-05,1e-05,0.0,1e-05,1e-05,0.016,2.8000000000000003e-06,3e-05,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.002,246.0,1 cup,984.0,1 quart,0.0,27
1387,"ALMOND BUTTER,PLN,WO/SALT",1.64,20.96,55.5,3.09,18.82,10.3,4.43,0.934,0.318,1.0,0.0,0.0,0.0,4.152,32.445,13.613,0.347,0.00349,0.279,0.508,0.748,0.007,0.00329,0.0021309999999999996,2.4e-05,0.0,4.1e-05,0.000939,0.003155,0.000103,0.00053,0.0,0.00053,0.00053,0.0521,0.0,0.0,0.0,1e-05,0.0,0.0,1e-05,0.024210000000000002,0.0,0.0,16.0,1 tbsp,250.0,1 cup,0.0,614
1388,"CANDIES,REESE'S BITES",1.65,11.34,29.85,1.62,55.18,3.1,48.03,0.3,0.57,60.0,,,,18.0,7.06,1.82,0.112,0.00085,0.063,0.194,0.382,0.179,0.00106,0.00065,1.6e-05,0.0008,0.00015,0.00020999999999999998,0.00433,0.0001,0.00042,,,,,,,,,,,,,,0.007,39.0,16 pieces,,,0.0,521
1389,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,CHOIC,RAW",72.89,22.88,3.38,1.1,0.0,0.0,0.0,0.101,0.681,0.0,0.0,0.0,2.0,1.158,1.425,0.159,0.02,0.00212,0.025,0.221,0.351,0.057,0.00428,1.4e-05,0.000286,0.0,9.6e-05,0.000165,0.006958,0.0006720000000000001,0.00014,0.0,0.00014,0.00014,0.09559999999999999,1.91e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,1.2e-05,0.06,28.0,1 oz,453.6,1 lb,10.0,128
1390,"RICE CAKES,BROWN RICE,RYE",6.8,8.1,3.8,1.5,79.9,4.0,,0.39,1.11,3.0,0.0,,,0.58,1.31,1.55,0.021,0.0018,0.144,0.38,0.311,0.11,0.003,0.002977,,0.0,9.1e-05,8.999999999999999e-05,0.00704,0.00015,5e-05,0.0,5e-05,5e-05,,0.0,0.0,,,,,,,,0.0,9.0,1 cake,18.0,2 cakes,0.0,386
1391,"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR",0.14,0.0,0.0,0.92,98.94,0.4,92.31,0.013,0.007,2000.0,600.0,0.0,0.0,0.0,0.0,0.0,0.385,2e-05,0.0,0.151,0.19,0.017,1e-05,5e-05,5e-06,0.2308,1e-06,0.00068,0.008,0.0008,0.0,0.0,0.0,0.0,0.0001,0.0,0.00599,0.0,0.0,1e-05,0.0,1e-05,0.0,0.0,0.0,26.0,"1 serving, 2 tbsp",,,0.0,386
1392,"COOKIE,CHOC,W/ ICING OR COATING",2.0,4.5,24.2,1.43,67.87,2.3,32.0,0.267,,1.0,0.0,0.0,0.0,16.5,2.6,3.6,0.015,0.003,0.025,0.075,0.095,0.38,0.0003,,0.00011800000000000001,0.0,0.00029,0.00019,0.0025,2.3e-05,0.00058,0.00049,9e-05,0.00092,0.007,2e-07,0.0,0.0,0.0,0.0,0.0,8e-05,0.00279,6.900000000000001e-05,0.0,32.0,4 cookies,,,0.0,507
1393,"DENNY'S,TOP SIRLOIN STEAK",61.82,28.9,7.34,1.8,0.14,,,0.118,0.74,,,,,2.595,2.84,0.672,0.006,0.00327,0.024,0.264,0.341,0.349,0.00526,1.7e-05,0.0,,5e-05,0.00022,0.00531,0.0006129999999999999,,,,,,2.7000000000000002e-05,,,,,,,,1e-05,0.082,107.0,1 steak,,,0.0,182
1394,"TURKEY,ENHANCED,DK MEAT FROM WHL,MEAT & SKN,RAW",70.55,17.84,10.83,1.08,0.15,0.0,0.1,0.094,0.845,93.0,28.0,0.5,20.0,2.6,4.4,3.81,0.014,0.00083,0.018,0.172,0.202,0.161,0.0023,1e-05,0.00019899999999999999,0.0,5.1e-05,0.000216,0.005235,0.00037,6e-05,,6e-05,,0.0572,1.81e-05,0.00028,0.0,0.0,0.0,0.0,0.0,0.00011,0.0,0.082,85.0,3 oz,453.0,1 lb,34.0,169
1395,"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/8""FAT,CHOIC,RAW",61.32,17.21,20.8,0.9,0.0,0.0,,0.114,0.7,0.0,0.0,,,9.12,8.54,1.64,0.01,0.00163,0.023,0.161,0.235,0.056,0.00313,1.9e-05,0.00019899999999999999,0.0,0.00013000000000000002,0.00023,0.00634,0.00014000000000000001,0.00019,0.0,0.00019,0.00019,,2.5e-05,0.0,,,,,,,,0.071,28.0,1 oz,453.6,1 lb,24.0,261
1396,"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",94.32,1.8,0.18,1.22,2.48,1.0,,0.107,0.124,526.0,,0.0,0.0,0.044,0.006,0.085,0.015,0.0006,0.009,0.038,0.172,0.284,0.00047,0.000152,1.6e-05,0.0165,5.4e-05,8.9e-05,0.000851,9.800000000000001e-05,0.00085,0.0,0.00085,0.00085,,0.0,0.0,,,,,,0.00116,,0.0,122.0,.5 cup,411.0,"1 can,  (300 x 407)",0.0,15
1397,"LEAVENING AGENTS,BAKING PDR,LOW-SODIUM",6.2,0.1,0.4,46.4,46.9,2.2,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.073,0.006,0.121,4.332,0.00817,0.029,6.869,10.1,0.09,0.0007199999999999999,0.00041999999999999996,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1 tsp,2.5,.5 tsp,0.0,97
1398,"CAMPBELL'S, CHNKY MICRO BOWL,GRLLD CHIC&SAUS GMBO,RTS",87.8,2.86,1.63,0.7,7.35,0.4,2.04,,,163.0,,,,0.816,,,0.016,0.00015,,,,0.318,,,,0.0,,,,,,,,,,,,,,,,,,,0.006,245.0,"1 serving, 1 cup",,,0.0,57
1399,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",88.74,3.93,1.17,0.86,5.52,0.0,,0.01,0.373,203.0,61.0,1.0,40.0,0.728,0.338,0.043,0.142,5.9999999999999995e-05,0.016,0.111,0.18,0.058,0.00045,2e-06,2.5e-05,0.0012,4.4999999999999996e-05,0.000192,0.0001,5e-05,6e-05,0.0,6e-05,6e-05,,4.3e-06,0.00061,,,,,,,,0.004,246.0,1 cup,984.0,1 quart,0.0,48
1400,"CEREALS RTE,POST,HONEY BUNCHES OF OATS W/ VANILLA BUNCHES",3.0,7.9,5.1,2.1,81.8,7.8,20.7,0.3,,1786.0,527.0,2.7,107.0,0.6,2.5,1.7,0.033,0.0289,0.075,0.232,0.262,0.267,0.0067,,7.3e-05,0.0,0.0007,0.0008,0.0089,0.0009,0.00357,0.00338,0.00019,0.00594,0.0229,2.7000000000000002e-05,0.00525,2e-05,0.00011,0.00018,0.0,0.00141,0.00094,3.2999999999999996e-05,0.0,56.0,"1 cup,  (1 NLEA serving)",,,0.0,394
1401,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN & FAT,RAW",70.38,21.55,6.94,0.97,0.0,0.0,0.0,0.056,0.727,4.0,1.0,0.4,18.0,2.45,2.985,0.878,0.007,0.0005,0.026,0.226,0.373,0.048,0.00155,7e-06,0.000331,0.0,0.0006670000000000001,0.000185,0.007988,0.000726,0.0,0.0,0.0,0.0,0.0578,5.3e-06,1e-05,0.0,0.0,0.0,0.0,0.0,0.00013000000000000002,0.0,0.067,85.0,3 oz,185.0,1 chop,12.0,155
1402,"CEREALS,WHL WHEAT HOT NAT CRL,DRY",9.9,11.2,2.0,1.6,75.2,9.5,0.42,0.458,0.915,0.0,0.0,0.0,0.0,0.3,0.283,1.008,0.04,0.0033900000000000002,0.122,0.379,0.389,0.002,0.00266,0.0032,0.0007070000000000001,0.0,0.0004,0.0003,0.004900000000000001,0.000391,0.00078,0.0,0.00078,0.00078,0.023100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.00227,0.00131,2.4e-05,0.0,94.0,1 cup,31.0,.333 cup,0.0,342
1403,"BEANS,BLACK,MATURE SEEDS,CKD,BLD,W/SALT",65.74,8.86,0.54,1.15,23.71,8.7,,0.209,0.242,6.0,0.0,0.0,0.0,0.139,0.047,0.231,0.027,0.0021000000000000003,0.07,0.14,0.355,0.237,0.0011200000000000001,0.000444,1.2e-05,0.0,0.000244,5.9e-05,0.000505,6.900000000000001e-05,0.00149,0.0,0.00149,0.00149,,0.0,0.0,,,,,,,,0.0,172.0,1 cup,,,0.0,132
1404,"TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT ONLY,RAW",76.42,21.54,1.66,1.42,0.0,0.0,0.05,0.052,0.775,20.0,6.0,0.1,5.0,0.289,0.264,0.258,0.014,0.00054,0.025,0.236,0.242,0.206,0.0013,7e-06,0.000227,0.0,3.3e-05,0.000145,0.009923999999999999,0.000775,7e-05,,7e-05,,0.048299999999999996,6.3e-06,6e-05,0.0,0.0,0.0,0.0,0.0,5.9999999999999995e-05,0.0,0.054,85.0,1 serving,,,31.0,101
1405,"CANDIES,TOFFEE,PREPARED-FROM-RECIPE",0.55,1.07,32.75,0.66,64.72,0.0,63.47,0.003,0.134,1152.0,319.0,,,20.565,8.964,1.222,0.034,2.9999999999999997e-05,0.004,0.032,0.051,0.135,0.00011999999999999999,2e-06,8e-06,0.0002,8e-06,6.8e-05,2.9e-05,8.999999999999999e-06,2e-05,0.0,2e-05,2e-05,,1.1e-06,0.00314,0.0,0.00064,0.0,0.0,0.0,0.00094,2.8e-05,0.104,12.0,1 piece,,,0.0,560
1406,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",4.5,4.17,4.67,1.25,85.93,3.1,48.97,0.09,,1667.0,478.0,3.3,133.0,2.763,0.887,0.555,0.366,0.03,0.05,0.083,0.253,0.367,0.01332,,5e-05,0.023399999999999997,0.00133,0.00139,0.018170000000000002,0.0017900000000000001,0.00667,0.00648,0.00019,0.01121,0.0023,5e-05,0.00473,0.00026,0.0004,0.0,0.0,0.00632,8e-05,1e-06,0.0,30.0,".75 cup,  (1 NLEA serving)",,,0.0,397
