Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Vit_A(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),Cholestrl_(g),Energ_Kcal
"CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV",61.79,19.67,12.67,2.53,3.34,0.6,2.04,3.321,5.766,2.359,0.00017399999999999997,0.028,0.0024100000000000002,0.02,0.205,0.19,0.615,0.00114,3.9e-05,0.0,0.00033200000000000005,0.0,7.4e-05,0.000242,0.0055,0.000545,0.00014199999999999998,0.0001,0.0,0.0001,,4e-06,0.00017,0.0,0.0,0.0,0.0,0.0,0.00035999999999999997,,,0.126,211
"BEEF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,RAW",73.28,22.15,3.83,1.06,0.0,0.0,0.0,1.4,1.63,0.309,0.0,0.005,0.0029100000000000003,0.024,0.217,0.36,0.062,0.00431,0.000132,2e-05,0.000303,0.0,8.9e-05,0.000241,0.00636,0.000768,0.0007239999999999999,6e-05,0.0,6e-05,0.09129999999999999,3.6099999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,,0.0,0.061,129
DILL SEED,7.7,15.98,14.54,6.62,55.17,21.1,,0.73,9.41,1.01,0.000159,1.516,0.016329999999999997,0.256,0.277,1.186,0.02,0.0052,0.00078,0.001833,0.000121,0.021,0.00041799999999999997,0.00028399999999999996,0.002807,,0.00025,0.0001,0.0,0.0001,,0.0,0.0,,,,,,,0.0,,0.0,305
"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",79.0,0.9,0.22,0.57,19.31,1.4,12.76,0.106,0.028,0.085,0.00016800000000000002,0.005,0.0003,0.025,0.019,0.233,0.002,0.0001,8e-05,8.2e-05,6e-06,0.013900000000000001,1e-05,2.9999999999999997e-05,0.00055,0.000145,0.00029,5e-05,0.0,5e-05,0.0070999999999999995,0.0,0.0,0.00015,0.00023,6e-05,0.0,0.0001,8e-05,0.0,6e-06,0.0,83
"FISH,SALMON,PINK,CND,TOTAL CAN CONTENTS",74.04,19.68,4.97,2.4,0.0,0.0,0.0,0.862,1.205,1.42,0.00017099999999999998,0.215,0.00064,0.03,0.337,0.344,0.403,0.00076,6.900000000000001e-05,2.4e-05,0.00033200000000000005,0.0,2.3e-05,0.000186,0.006535999999999999,0.00055,0.0003,0.00015,0.0,0.00015,0.0878,4.4000000000000006e-05,0.00017,0.0,0.0,0.0,0.0,0.0,0.00064,0.000137,5e-06,0.055,129
"REFRIED BNS,CND,TRADITIONAL STYLE (INCLUDES USDA COMMODITY)",77.75,4.98,2.01,1.71,13.55,3.7,0.54,0.631,0.601,0.543,0.0,0.029,0.0014399999999999999,0.035,0.092,0.319,0.37,0.00058,0.000129,0.000289,5.8e-05,0.006,7.6e-05,7.9e-05,0.000367,0.000189,0.000103,0.00011,0.0,0.00011,0.0212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.999999999999999e-05,0.0,2.1000000000000002e-05,0.0,90
"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",87.39,1.41,1.48,2.19,7.53,1.8,5.5,0.17,0.377,0.508,0.00195,0.027,0.00078,0.018,0.034,0.319,0.419,0.0002,8.1e-05,0.00013700000000000002,1.4e-05,0.002,2.4e-05,6.1e-05,0.0039169999999999995,7.6e-05,0.00017299999999999998,0.00013,0.0,0.00013,0.013699999999999999,0.0,0.0,0.0,0.0039,0.0,0.12665,0.0019,0.0024,0.0,0.000139,0.002,49
"SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG",81.8,0.2,2.7,2.2,12.4,2.0,6.8,0.5,,,0.000297,0.006,0.0001,,0.027,0.05,0.75,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0015509999999999999,0.01,70
"PEACHES,DRIED,SULFURED,STWD,W/ SUGAR",71.38,1.06,0.22,0.73,26.6,2.4,,0.024,0.082,0.108,0.00054,0.008,0.0012,0.012,0.035,0.292,0.002,0.00017,0.000107,8.9e-05,7e-06,0.0034,5e-06,1.9e-05,0.001388,0.000165,3.5000000000000004e-05,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,103
"STEW,MOOSE (ALASKA NATIVE)",86.1,6.6,0.5,0.8,6.0,0.5,,0.01,0.01,0.02,0.003129,0.012,0.00152,0.006,0.016,0.1,0.222,0.00011999999999999999,2e-05,8.999999999999999e-05,,0.001,5.9999999999999995e-05,8e-05,0.0015,4e-05,2.9999999999999997e-05,5e-05,,5e-05,,,,,,,,,,,,,55
"BEEF,NZ,IMP,FLAT,LN & FAT,CKD,BRSD",54.29,31.86,13.79,1.02,0.0,0.0,0.0,4.507,4.867,0.578,0.00014099999999999998,0.006,0.00309,0.017,0.154,0.17,0.03,0.00433,0.00018099999999999998,1.4999999999999999e-05,2e-05,0.0,2.6e-05,0.000184,0.0022400000000000002,0.000147,0.000165,,,,,1.77e-05,0.00014,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,,0.092,252
"CREAM,FLUID,LT WHIPPING",63.5,2.17,30.91,0.46,2.96,0.0,2.96,19.337,9.093,0.884,0.0030389999999999996,0.069,2.9999999999999997e-05,0.007,0.061,0.097,0.034,0.00025,7e-06,1e-06,5e-06,0.0006,2.4e-05,0.000125,4.2000000000000004e-05,0.000259,2.8e-05,4e-05,0.0,4e-05,0.016800000000000002,2e-06,0.00274,0.0,0.0006,0.0,0.0,0.0,0.00088,6e-06,2.7000000000000002e-05,0.111,292
"PORK,FRSH,BACKRIBS,LN&FAT,CKD,RSTD",54.82,23.01,21.51,1.04,0.0,0.0,0.0,7.8,9.29,3.529,6e-05,0.046,0.00092,0.017,0.165,0.24,0.094,0.00307,0.000107,1e-05,0.000322,0.0,0.00046,0.000331,0.007636,0.00126,0.00041299999999999996,0.0,0.0,0.0,0.07859999999999999,7.4e-06,6e-05,0.0,0.0,0.0,0.0,0.0,0.00025,1.2e-05,0.0,0.084,292
"GAME MEAT,BUFFALO,H2O,RAW",76.3,20.39,1.37,1.05,0.0,0.0,,0.46,0.42,0.27,0.0,0.012,0.00161,0.032,0.197,0.297,0.053,0.0019299999999999999,0.00015099999999999998,,9e-05,0.0,4e-05,0.0002,0.00597,0.00016,0.00053,8e-05,0.0,8e-05,,1.66e-05,0.0,,,,,,,,,0.046,99
"CATTAIL,NARROW LEAF SHOOTS (NORTHERN PLAINS INDIANS)",92.65,1.18,0.0,1.03,5.14,4.5,0.22,,,,3.2999999999999996e-05,0.054,0.00091,0.063,0.045,0.309,0.109,0.00023999999999999998,4.1e-05,0.00076,6e-06,0.0007,2.3e-05,2.5e-05,0.00044,0.00023400000000000002,0.000123,3e-05,,3e-05,0.0237,,,0.0,6e-05,0.0,0.0,0.00076,,,0.000228,,25
"PORK,FRSH,SHLDR,BLADE,BOSTON (ROASTS),LN&FAT,CKD,RSTD",57.47,23.11,18.86,1.23,0.0,0.0,0.0,6.97,8.27,1.76,2.1000000000000002e-05,0.028,0.00145,0.018,0.197,0.332,0.067,0.00396,0.000114,1.2e-05,0.000343,0.0007,0.000638,0.00035499999999999996,0.004061,0.000665,0.00023,5e-05,0.0,5e-05,0.07940000000000001,8.8e-06,2e-05,0.0,0.0,0.0,0.0,0.0,0.00019,1.3000000000000001e-05,0.0,0.086,269
"SALAD DRESSING,COLESLAW",39.9,0.9,33.4,2.0,23.8,0.1,20.11,4.9,9.0,18.0,0.00018899999999999999,0.014,0.0002,0.002,0.026,0.009,0.71,0.00017999999999999998,1.1e-05,0.000108,1.6e-05,0.0,1e-05,2e-05,0.0,0.000131,2e-05,0.00014,0.0,0.00014,0.015300000000000001,2.1e-06,0.00016,2e-05,4e-05,1e-05,0.0,0.00048,0.0030800000000000003,1e-06,0.000637,0.026,390
"SQUASH,SUMMER,SCALLOP,RAW",94.18,1.2,0.2,0.58,3.84,1.2,2.39,0.041,0.015,0.084,0.000651,0.019,0.0004,0.023,0.036,0.182,0.001,0.00029,0.000102,0.000157,2e-06,0.018,7.000000000000001e-05,2.9999999999999997e-05,0.0006,0.000102,0.00010899999999999999,0.0003,0.0,0.0003,0.0073,0.0,0.0,0.0,0.0013,0.0,0.0,0.02308,0.00013000000000000002,0.0,3.2999999999999996e-05,0.0,18
"BURRITO,BF & BEAN,MICROWAVED",38.14,8.73,11.94,2.24,38.95,6.9,1.36,4.072,5.035,1.763,0.000783,0.039,0.00312,0.036,0.097,0.271,0.659,0.00124,0.000228,0.000531,0.000136,0.001,0.00046100000000000004,0.00023,0.0035659999999999997,8e-06,0.000132,0.00076,0.00053,0.00023,0.0281,1.4000000000000001e-06,0.0,0.0,0.00144,0.00025,0.03128,0.00064,0.00079,,7.5e-05,0.009,298
"SOUP,HEALTHY CHOIC CHICK & RICE SOUP,CND",90.31,2.53,0.55,0.9,5.71,0.8,0.37,0.17,0.23,0.13,0.001002,0.015,8.999999999999999e-05,,,,0.181,,,,,0.001,,,,,,,,,,,,,,,,,,,,0.007,37
"COOKIE,BUTTER OR SUGAR,W/ CHOC ICING OR FILLING",2.0,4.1,23.5,1.57,68.83,1.9,33.8,14.8,2.7,5.1,3e-06,0.019,0.00244,0.013,0.074,0.234,0.348,0.0002,0.000365,,9e-05,0.0,0.00034,0.00019,0.0021000000000000003,,2.6e-05,0.00071,0.00033,0.00038,0.0067,3e-07,0.0,0.0,0.0,0.0,0.0,7e-05,0.00181,0.0,6.599999999999999e-05,0.001,503
"VITASOY USA ORGANIC NASOYA,SOFT TOFU",85.8,8.0,3.5,1.2,1.5,0.6,0.3,0.5,0.7,2.3,,0.13,0.0011,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,0.0,70
"BANANAS,DEHYD,OR BANANA PDR",3.0,3.89,1.81,3.02,88.28,9.9,47.3,0.698,0.153,0.337,0.0007439999999999999,0.022,0.00115,0.108,0.074,1.491,0.003,0.00061,0.000391,0.000574,3.9e-05,0.007,0.00017999999999999998,0.00023999999999999998,0.0028,,0.00044,0.00014,0.0,0.00014,0.019600000000000003,0.0,0.0,0.00096,0.00101,0.0,0.0,0.00084,0.00039,0.0,2e-05,0.0,346
"CAMPBELL'S RED & WHITE,CHICK & STARS SOUP,COND",86.0,2.38,1.59,1.3,8.73,0.8,0.79,0.397,0.794,0.397,0.001191,0.0,0.00029,,,0.444,0.381,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.004,56
"LAMB,AUS,IMP,FRSH,LEG,SIRL HALF,BNLESS,LN,1/8""FAT,CKD,RSTD",62.18,27.75,10.65,1.05,0.0,,,4.508,4.182,0.482,,0.013,0.0022400000000000002,0.025,0.214,0.318,0.083,0.0047599999999999995,0.000194,1.7e-05,0.00013,,0.000135,0.00041999999999999996,0.005725,0.00099,0.00046,,,,,3.1899999999999996e-05,,,,,,,,,,0.105,215
"LAMB,NZ,IMP,LOIN,BNLESS,LN,CKD,FAST RSTD",66.69,28.99,4.49,1.3,0.0,0.0,0.0,1.581,1.233,0.35,8.999999999999999e-06,0.006,0.0020499999999999997,0.028,0.234,0.355,0.057,0.0027,0.00016700000000000002,1e-05,5.5e-05,0.0,6.2e-05,0.000187,0.007133,0.000785,0.000205,,,,,1.3899999999999999e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,,0.086,156
"JUICE SMTHIE,ODWALLA,ORIGINAL SUPERFD,FRUIT SMTHIE BLEND",85.64,0.56,0.14,1.26,12.39,0.6,10.42,,,,0.0042239999999999995,0.006,0.00051,,,0.155,0.004,,,0.004225,,0.0050999999999999995,,,,,,,,,,,,,,,,,,,,,54
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",80.3,0.6,0.1,0.5,18.5,2.7,10.97,0.008,0.066,0.022,0.001359,0.015,0.00035,0.01,0.015,0.177,0.005,8.999999999999999e-05,6.1e-05,,5e-06,0.0008,2.2e-05,7.5e-05,0.0005250000000000001,0.00014000000000000001,8.1e-05,0.0,0.0,1e-05,0.0011,0.0,0.0,0.00033,0.00228,0.00054,0.0,0.00039,0.0006,0.0,0.000156,0.0,69
"SNACKS,RICE CAKES,BROWN RICE,CORN",5.9,8.4,3.2,1.4,81.2,2.9,,0.63,1.14,1.13,0.0,0.009,0.00117,0.114,0.32,0.275,0.167,0.00222,0.00041999999999999996,0.00508,,0.0,8e-05,0.000104,0.006435,0.00093,0.00014000000000000001,0.00019,0.0,0.00019,,0.0,0.0,,,,,,,,,0.0,385
"BEEF,CHUCK FOR STEW,LN & FAT,SEL,RAW",72.79,21.9,3.99,1.12,0.21,0.0,0.0,1.748,2.16,0.287,2.1000000000000002e-05,0.014,0.0022,0.02,0.209,0.359,0.081,0.00551,9.3e-05,1.4e-05,0.00026,0.0,8e-05,0.00017,0.00519,0.00067,0.0005679999999999999,4e-05,0.0,4e-05,0.0746,2.42e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.00015,1e-06,1.5e-05,0.066,124
"SWORDFISH,RAW",73.38,19.66,6.65,1.44,0.0,0.0,0.0,1.602,2.971,1.147,0.00036,0.005,0.00038,0.029,0.255,0.418,0.081,0.00066,3.9e-05,1.1e-05,0.000574,0.0,7.5e-05,5.3e-05,0.0077599999999999995,0.00035,0.0005430000000000001,2e-05,0.0,2e-05,0.065,1.7e-05,0.00036,0.0,0.0,0.0,0.0,0.0,0.00202,0.000139,1e-06,0.066,144
"CEREALS RTE,SUN COUNTRY,KRETSCHMER WHEAT GERM,REG",4.78,31.43,9.56,4.82,49.38,11.9,7.14,1.66,1.25,5.98,0.000381,0.05,0.00834,0.313,1.13,1.097,0.006,0.01601,0.00062,0.01908,,0.006,0.00197,0.00078,0.00558,0.0014,0.0006,0.00669,0.00317,0.00352,,2.1e-06,0.0,,,,,,0.019289999999999998,0.0,,0.0,366
"BEEF,ASTRLN,WGYU,RB,SML END RB STK/RST,BNLS,LN &FAT,MRBL SCR",46.27,14.54,38.3,0.61,0.42,0.0,0.0,13.942,19.576,1.153,5.4e-05,0.003,0.00182,,,,0.057,,,,,0.0,,,,,,,,,,,6e-05,0.0,0.0,0.0,0.0,0.0,,,,0.082,405
"FRUIT SALAD,CND,JUC PK,SOL&LIQUIDS",86.15,0.51,0.03,0.26,13.05,1.0,,0.004,0.005,0.011,0.0018,0.011,0.00025,0.008,0.014,0.116,0.005,0.00014000000000000001,5e-05,0.00015099999999999998,,0.0033,1.1e-05,1.4e-05,0.000356,5.3e-05,2.7e-05,3e-05,0.0,3e-05,,0.0,0.0,,,,,,,0.0,,0.0,50
"BEEF,CHK EYE STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,CKD,GRILLED",54.74,24.95,20.35,0.94,0.0,0.0,0.0,8.677,9.479,1.409,7.199999999999999e-05,0.015,0.00246,0.021,0.192,0.333,0.071,0.00863,7.9e-05,1.2e-05,0.000268,0.0,6.6e-05,0.000188,0.004649,0.000746,0.000357,6e-05,0.0,6e-05,0.07579999999999999,2.89e-05,7e-05,0.0,0.0,0.0,0.0,0.0,0.0001,1e-06,1.6e-05,0.086,283
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",74.04,6.81,7.56,1.55,10.04,0.0,10.04,4.591,2.335,0.245,0.000699,0.261,0.00019,0.024,0.203,0.303,0.106,0.0007700000000000001,1.6e-05,6e-06,2.2999999999999997e-05,0.0019,4.7e-05,0.000316,0.000194,0.000638,5e-05,8e-05,0.0,8e-05,0.0318,1.6e-06,0.00064,0.0,0.00012,0.0,0.0,0.0,0.00014000000000000001,2e-05,5e-06,0.029,134
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,RAW",58.1,14.05,28.74,0.64,0.0,0.0,0.0,8.34,12.25,6.14,0.000753,0.013,0.00094,0.015,0.113,0.144,0.064,0.00126,4.7e-05,1.7999999999999997e-05,0.000121,0.0016,5.1e-05,0.000116,0.004835,0.000819,0.00019,6e-05,0.0,6e-05,,2.5e-06,0.00075,0.0,0.0,0.0,0.0,0.0,0.00037,,2.4e-05,0.079,319
"PIE CRUST,STANDARD-TYPE,FRZ,RTB,ENR",17.82,6.16,26.07,1.33,48.62,2.5,4.7,8.159,12.167,3.176,3e-06,0.019,0.0026,0.015,0.072,0.097,0.409,0.00045,7.5e-05,0.000442,5.7e-05,0.0,0.000275,0.00017,0.0027,0.00040500000000000003,5e-05,0.0007,0.00046,0.00025,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.00046,0.0,5.4000000000000005e-05,0.0,457
"SOUP,CHICK,CND,CHUNKY,RTS",84.12,5.06,2.64,1.31,6.88,0.6,0.87,0.79,1.18,0.55,0.0015329999999999999,0.01,0.00069,0.003,0.045,0.07,0.354,0.0004,0.0001,0.0001,2.5e-05,0.0005,3.4e-05,6.900000000000001e-05,0.00176,0.00016,2e-05,2e-05,0.0,2e-05,0.0075,1e-06,2e-05,0.00104,0.00249,3e-05,0.00073,0.00056,0.00013000000000000002,0.0,2.5e-05,0.012,71
"BREAD,BANANA,PREP FROM RECIPE,MADE W/MARGARINE",29.2,4.3,10.5,1.0,54.6,1.1,,2.237,4.48,3.13,0.001479,0.021,0.0014,0.014,0.058,0.134,0.302,0.00035,7.199999999999999e-05,0.00020899999999999998,0.000121,0.0017,0.00017199999999999998,0.0002,0.001446,0.000268,0.00015,0.00033,0.00022,0.00011,,1e-06,0.00097,,0.00102,,,,,,,0.043,326
"BEEF,CHUCK,ARM POT RST,LN,1/8"" FAT,ALL GRDS,RAW",73.32,22.11,4.19,1.01,0.0,0.0,0.0,1.553,1.756,0.181,0.0,0.016,0.0019299999999999999,0.023,0.203,0.337,0.074,0.00555,9.3e-05,1.4e-05,0.000252,0.0,8.1e-05,0.00016,0.005069,0.0006540000000000001,0.000532,0.00013,0.0,0.00013,0.0923,1.88e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00028000000000000003,,1.1000000000000001e-05,0.065,132
"PICKLES,CUCUMBER,SOUR,LO NA",94.08,0.33,0.2,3.13,2.26,1.2,1.06,0.052,0.003,0.081,0.0005729999999999999,0.0,0.0004,0.004,0.014,0.023,0.018,2e-05,8.5e-05,1.1e-05,0.0,0.001,0.0,1e-05,0.0,3.8e-05,8.999999999999999e-06,1e-05,0.0,1e-05,0.0036,0.0,0.0,0.0002,0.00081,0.00047,0.0,0.00043,8.999999999999999e-05,0.0,0.00047,0.0,11
"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT & VEG",59.55,11.59,10.36,1.68,16.81,1.4,4.0,3.893,3.518,0.298,0.000774,0.095,0.00186,0.019,0.119,0.21,0.385,0.00217,8.999999999999999e-05,0.000182,,0.0019,0.000145,0.00028100000000000005,0.003327,,,0.00047,,,0.029,1.01e-05,,,,,,,,,,0.034,206
"CROUTONS,SEASONED",3.6,10.8,18.3,3.8,63.5,5.0,4.41,5.247,9.498,2.368,9.6e-05,0.096,0.00282,0.042,0.14,0.181,1.089,0.00094,0.00016800000000000002,0.000514,0.000288,0.0,0.000506,0.000421,0.004646,0.0008349999999999999,8.3e-05,0.00105,0.00065,0.0004,0.0146,1.4000000000000001e-06,7e-05,0.0,6e-05,0.0,0.0,0.00045,0.0004,0.0,7.599999999999999e-05,0.007,465
"CORN,SWT,WHITE,CND,CRM STYLE,REG PK",78.24,1.74,0.42,0.98,18.62,1.2,2.21,0.065,0.123,0.199,3e-06,0.004,0.00031,0.015,0.04,0.119,0.261,0.0005600000000000001,2.2e-05,6.8e-05,4e-06,0.0046,2.5e-05,5.3e-05,0.0009599999999999999,0.00017999999999999998,6.3e-05,0.00045,0.0,0.00045,0.020300000000000002,0.0,0.0,0.0,0.0,1e-05,0.0,0.00037,7.000000000000001e-05,0.0,0.0,0.0,74
"NOODLES,CHINESE,CELLOPHANE OR LONG RICE (MUNG BNS),DEHYD",13.42,0.16,0.06,0.27,86.09,0.5,0.0,0.017,0.008,0.018,0.0,0.025,0.00217,0.003,0.032,0.01,0.01,0.00041,8.1e-05,0.0001,7.900000000000001e-05,0.0,0.00015,0.0,0.0002,0.0001,5e-05,2e-05,0.0,2e-05,0.0932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013000000000000002,0.0,0.0,0.0,351
"SEAL,BEARDED (OOGRUK),MEAT,LO QUADRANT,RAW (ALASKA NATIVE)",63.35,23.63,10.17,0.8,0.0,0.0,0.0,,,,0.001944,0.004,0.017,0.017,0.14,0.21,0.057,0.0026,0.000148,3.7e-05,,,,,,,,,,,0.0631,,0.00194,0.0,0.0,0.0,0.0,0.0,0.00027,,0.0,0.121,186
"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",49.03,23.06,26.82,1.19,0.0,0.0,,11.36,10.97,2.17,0.0,0.018,0.0019299999999999999,0.024,0.184,0.277,0.077,0.00421,0.000124,2.1000000000000002e-05,0.000247,0.0,8.999999999999999e-05,0.00023,0.00692,0.00061,0.00011,0.00015,0.0,0.00015,,2.56e-05,0.0,,,,,,,,,0.098,340
"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,CKD",52.03,26.21,20.91,1.08,0.0,0.0,0.0,8.24,8.97,0.75,0.0,0.009,0.00266,0.023,0.206,0.317,0.062,0.0059299999999999995,0.000111,1.4999999999999999e-05,0.00023899999999999998,0.0,8.999999999999999e-05,0.00022,0.0037,0.00035,0.00033,7e-05,0.0,7e-05,0.0998,2.4599999999999998e-05,,0.0,0.0,0.0,0.0,0.0,,,,0.087,301
"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT",79.45,8.47,4.45,1.1,6.53,0.8,0.43,0.617,1.009,2.513,0.00012,0.059,0.00131,0.06,0.135,0.355,0.246,0.0010400000000000001,0.00033,0.0007099999999999999,6e-06,0.0083,0.000205,5.3e-05,0.001092,0.000743,0.00010499999999999999,0.0008,0.0,0.0008,,0.0,0.0,0.00012,0.00012,0.00012,0.0,0.0,0.00020999999999999998,0.0,0.00033,0.0,81
"KELLOGG'S,POP-TARTS MINI CRISPS,FRSTD STRAWBERRY BKD BITES",2.5,4.7,11.8,,79.1,1.5,35.3,4.5,2.4,4.0,0.010248,,0.0094,0.01,0.044,0.068,0.51,0.0005,,,,,0.00111,0.0011200000000000001,0.0109,,0.00099,0.00251,,,,0.0,,,,,,,0.0,0.0,,0.0,440
"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,RTF",86.6,1.7,2.7,0.47,8.54,0.0,6.19,1.18,0.87,0.6,0.000489,0.078,0.0012,0.005,0.052,0.088,0.025,0.0005200000000000001,5.5e-05,,1.3000000000000001e-05,0.005900000000000001,5.2e-05,9.1e-05,0.00065,,4.2000000000000004e-05,0.0001,0.0001,0.0,0.008,1.6e-06,0.00048,0.0,0.0,0.0,0.0,0.0,0.00091,1.1000000000000001e-05,5.2000000000000004e-05,0.001,65
"WENDY'S,FROSTY DAIRY DSSRT",69.25,3.49,2.6,1.04,23.62,3.3,,1.635,0.692,0.117,,0.128,0.0010400000000000001,0.02,0.112,0.185,0.098,0.00044,7.5e-05,6.3e-05,3.2999999999999996e-05,0.0,5.9999999999999995e-05,0.0007199999999999999,0.000348,0.000601,0.0,,,,0.0277,5.899999999999999e-06,,,,,,,,,4e-06,0.016,132
"CANDIES,MARS SNACKFOOD US,MARS ALMOND BAR",4.5,8.1,23.0,1.6,62.7,2.0,52.1,7.268,10.693,3.98,0.00015299999999999998,0.168,0.0011,0.072,0.234,0.325,0.17,0.00111,0.00025,0.000367,1.6e-05,0.0007,4.1e-05,0.000312,0.000945,0.000404,5.9999999999999995e-05,9e-05,0.0,9e-05,0.0371,3.6e-06,0.00015,0.0,1e-05,0.0,0.0,0.0,0.00775,0.0,0.000109,0.017,467
"PORK SAUSAGE RICE LINKS,BROWN&SERVE,CKD",44.1,13.7,37.63,2.22,2.36,0.0,0.0,12.825,18.1,4.073,0.0,0.015,0.0011200000000000001,0.014,0.116,0.212,0.88,0.00145,6.6e-05,7.9e-05,0.00016600000000000002,0.0,0.00047999999999999996,0.00011999999999999999,0.00335,,0.0002,6e-05,0.0,6e-05,0.0559,1.3000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00022,9e-06,3.4e-05,0.066,407
"GOAT,RAW",75.84,20.6,2.31,1.11,0.0,0.0,,0.71,1.03,0.17,0.0,0.013,0.00283,,0.18,0.385,0.082,0.004,0.000256,3.8e-05,8.800000000000001e-05,0.0,0.00011,0.00049,0.00375,,,5e-05,0.0,5e-05,,1.1299999999999999e-05,0.0,,,,,,,,,0.057,109
"COOKIES,SUGAR WAFERS W/CREME FILLING,SPL DIETARY",4.4,3.1,25.7,0.9,66.0,,,3.829,10.932,9.684,0.0,0.053,0.0014399999999999999,0.006,0.034,0.061,0.081,0.0002,3.8e-05,0.000254,6.3e-05,0.0,0.000164,0.000107,0.0015329999999999999,9.800000000000001e-05,8.999999999999999e-06,0.00042,0.00038,4e-05,,0.0,0.0,,,,,,,,,0.0,502
"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED",60.35,27.97,11.47,1.03,0.0,0.0,0.0,4.895,5.461,0.478,1.5e-05,0.016,0.0028799999999999997,0.024,0.227,0.391,0.075,0.0105,9.1e-05,1.4999999999999999e-05,0.000301,0.0,7.000000000000001e-05,0.000213,0.00518,0.00083,0.000393,7e-05,0.0,7e-05,0.0868,3.2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.00011,1e-06,1.6e-05,0.086,215
"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,CKD,RSTD",63.32,24.94,10.77,1.33,0.0,0.0,0.0,4.08,4.36,0.95,0.0,0.019,0.00213,0.025,0.2,0.265,0.068,0.00604,0.00011300000000000001,2.6e-05,0.000285,0.0,8.999999999999999e-05,0.00026000000000000003,0.0057599999999999995,0.00073,0.00015,0.00025,0.0,0.00025,0.0958,2.7000000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998,1e-06,4.5e-05,0.087,204
"VEAL,SHANK (FORE&HIND),LN,CKD,BRSD",62.98,32.22,4.33,1.13,0.0,0.0,,1.14,1.546,0.458,0.0,0.034,0.00126,0.025,0.228,0.309,0.094,0.006809999999999999,0.00011300000000000001,1.4999999999999999e-05,0.000137,,5e-05,0.0003,0.00966,0.00125,0.00027,0.00017,0.0,0.00017,,1.64e-05,0.0,,,,,,,,,0.126,177
"TURKEY STKS,BREADED,BATTERED,FRIED",49.4,14.2,16.9,2.5,17.0,,,4.38,6.92,4.39,0.00012,0.014,0.0022,0.015,0.234,0.26,0.838,0.00146,7.3e-05,8.3e-05,0.000207,0.0,0.0001,0.00017999999999999998,0.0021000000000000003,0.000533,0.0002,0.00029,0.0002,9e-05,,2.3e-06,0.00012,,,,,,,,,0.064,279
